"model","year","borealization_index"
"ACCESS-ESM1-5",1980,-1.22891477591288
"ACCESS-ESM1-5",1980,-1.82879719862559
"ACCESS-ESM1-5",1980,-2.16505158308955
"ACCESS-ESM1-5",1981,-2.49053572676423
"ACCESS-ESM1-5",1981,-1.5080768821508
"ACCESS-ESM1-5",1981,0.371698684078964
"ACCESS-ESM1-5",1981,-1.58488085882222
"ACCESS-ESM1-5",1982,-2.3563837183145
"ACCESS-ESM1-5",1982,-1.80154953460078
"ACCESS-ESM1-5",1982,-1.5861806055776
"ACCESS-ESM1-5",1982,-1.8886278033149
"ACCESS-ESM1-5",1983,-2.68970307775977
"ACCESS-ESM1-5",1983,-3.44915245856731
"ACCESS-ESM1-5",1983,-2.12832540050014
"ACCESS-ESM1-5",1983,-1.96131615730827
"ACCESS-ESM1-5",1984,-2.31381068384791
"ACCESS-ESM1-5",1984,-0.63920367194962
"ACCESS-ESM1-5",1984,-2.1079248843588
"ACCESS-ESM1-5",1984,-1.98311420229542
"ACCESS-ESM1-5",1985,-0.935415187690324
"ACCESS-ESM1-5",1985,-0.819665895044885
"ACCESS-ESM1-5",1985,-0.830059467873967
"ACCESS-ESM1-5",1985,-0.678082945417677
"ACCESS-ESM1-5",1986,-1.27344393150951
"ACCESS-ESM1-5",1986,-3.80098533230119
"ACCESS-ESM1-5",1986,-2.4301083447524
"ACCESS-ESM1-5",1986,-1.0815895758286
"ACCESS-ESM1-5",1987,-2.41864228725372
"ACCESS-ESM1-5",1987,-2.0616130896265
